[PtcServer Acquisition File]
PtcServerVersion=1.0.0.51
[PTC Status]
ID=Potenciostat [kolibrik.net] 1.4C_20161122 (PTC1, PTC-gamma-rC)
Serial=Kl-Ptc-150238
Setpoint=0.8
Range=15A
Feedback=Vsense
OutputEnabled=1
Switches=35264
AutoCalib=3
AutoRange=0
Vout=0.821156
Vsense=0.799924
Vref=-0.001712026
I=0.780012
[ACQ EIS]
Timestamp=2017-01-26 16:57:34.428
fStart=1
fEnd=100000
VAmp=9
PointsPerDecade=10
VRange=4
IRange=3
Periods=5
Samples=2048
ChannelCount=14
Channel1=Z
Channel2=Phi
Channel3=Re
Channel4=Im
Channel5=GenFreq
Channel6=SampleRate
Channel7=AmpV
Channel8=AmpI
Channel9=AmpGen
Channel10=Vout
Channel11=Vsense
Channel12=Vref
Channel13=I
Channel14=timestamp
[DataHeader]
Number	Z	Phi	Re	Im	GenFreq	SampleRate	AmpV	AmpI	AmpGen	Vout	Vsense	Vref	I	timestamp
[Data]
26	0.04525515	-45.42741	0.03176062	-0.03223804	398.1072	151079	0.008299374	0.1833907	14.58229	0.820928	0.800072	-0.001816436	0.782047	2017-01-26 16:58:18.627
27	0.04047916	-40.03244	0.0309941	-0.02603706	501.1872	190909	0.008470599	0.2092583	15.81332	0.820818	0.799816	-0.0017397	0.780865	2017-01-26 16:58:19.664
28	0.03693972	-34.85868	0.03031141	-0.02111305	630.9573	240000	0.008451613	0.2287947	16.80163	0.820236	0.799225	-0.001863106	0.77953	2017-01-26 16:58:20.686
29	0.03430348	-29.94743	0.02972341	-0.01712448	794.3282	302158	0.008486892	0.2474062	17.89181	0.820611	0.799452	-0.001768096	0.78336	2017-01-26 16:58:21.673
30	0.03229071	-25.47642	0.02915084	-0.01388952	1000	381818	0.008606045	0.2665177	18.97353	0.820307	0.799475	-0.001822757	0.78136	2017-01-26 16:58:22.710
31	0.03081018	-21.3915	0.02868767	-0.01123766	1258.925	482758	0.008643307	0.2805341	19.84207	0.820517	0.799455	-0.001788499	0.779969	2017-01-26 16:58:23.767
32	0.02938438	-17.57033	0.02801352	-0.008870447	1584.893	608695	0.00861136	0.2930591	20.66092	0.81991	0.799046	-0.001777004	0.779799	2017-01-26 16:58:24.731
33	0.02854022	-13.84779	0.0277107	-0.006830914	1995.262	763636	0.008628507	0.3023279	21.59336	0.820187	0.799154	-0.001694242	0.779448	2017-01-26 16:58:25.780
34	0.02781107	-10.45541	0.02734931	-0.005046881	2511.886	954545	0.008585229	0.3086982	22.52305	0.819643	0.798558	-0.001809984	0.778911	2017-01-26 16:58:26.712
35	0.02731474	-7.030043	0.02710939	-0.003343045	3162.278	1200000	0.008442505	0.3090824	23.61119	0.819862	0.798793	-0.001803237	0.779076	2017-01-26 16:58:27.765
36	0.02702733	-3.816894	0.02696739	-0.001799158	3981.072	1555555	0.008311851	0.307535	25.17033	0.819636	0.798625	-0.001852135	0.778911	2017-01-26 16:58:28.800
37	0.02695774	-0.6511345	0.026956	-0.0003063531	5011.872	1909090	0.008154995	0.3025103	27.25422	0.819597	0.798686	-0.001766491	0.778931	2017-01-26 16:58:29.839
38	0.02703508	2.295096	0.02701339	0.001082654	6309.573	2470588	0.008078359	0.2988103	30.07825	0.819494	0.798488	-0.001748674	0.77866	2017-01-26 16:58:30.807
39	0.02727349	5.385159	0.02715311	0.002559629	7943.282	3230770	0.007889482	0.2892729	33.5098	0.81929	0.798392	-0.001769307	0.778631	2017-01-26 16:58:31.850
40	0.02753654	8.259051	0.02725095	0.003955596	10000	3818180	0.007723533	0.280483	38.22662	0.818751	0.797829	-0.001791283	0.778027	2017-01-26 16:58:32.825
41	0.02800334	11.66032	0.02742543	0.005659727	12589.25	5250000	0.007702725	0.2750645	44.54433	0.818061	0.797257	-0.001700858	0.777573	2017-01-26 16:58:33.887
42	0.02858007	15.11265	0.02759163	0.007451328	15848.93	7000000	0.007565229	0.2647029	52.04638	0.817823	0.796937	-0.001785486	0.777211	2017-01-26 16:58:34.906
43	0.02933497	19.00956	0.02773517	0.009555162	19952.62	8400000	0.0074767	0.2548733	61.91716	0.817807	0.796926	-0.001747495	0.77719	2017-01-26 16:58:35.897
44	0.03025665	23.52002	0.02774295	0.0120745	25118.86	1.05E7	0.007506802	0.2481042	74.53213	0.816669	0.795702	-0.001901359	0.776021	2017-01-26 16:58:36.961
45	0.03160243	28.4986	0.02777313	0.0150787	31622.78	1.4E7	0.007544551	0.2387332	89.35751	0.815557	0.794574	-0.001755388	0.774998	2017-01-26 16:58:37.948
46	0.03336809	36.17572	0.02693507	0.01969597	39810.72	2.1E7	0.006325923	0.18958	90	0.814173	0.793305	-0.001784864	0.773555	2017-01-26 16:58:38.953
47	0.0363367	42.85689	0.0266368	0.02471512	50118.72	2.1E7	0.00549026	0.1510941	90	0.814627	0.793754	-0.001813947	0.774167	2017-01-26 16:58:39.930
48	0.04041867	49.56744	0.02621363	0.03076547	63095.73	2.1E7	0.004907965	0.1214282	90	0.814332	0.793507	-0.001740781	0.773885	2017-01-26 16:58:40.979
49	0.04592847	57.33214	0.02479073	0.03866322	79432.82	2.1E7	0.004449687	0.09688298	90	0.81455	0.79367	-0.001747724	0.774028	2017-01-26 16:58:41.969
50	0.05354872	64.841	0.02276526	0.04846863	100000	2.1E7	0.004110349	0.07675904	90	0.814552	0.793714	-0.001702364	0.774296	2017-01-26 16:58:43.019
[ACQ END]
