[PtcServer Acquisition File]
PtcServerVersion=1.0.0.49
[PTC Status]
ID=Potenciostat [kolibrik.net] 1.4C_20161122 (PTC1, PTC-gamma-rC)
Serial=Kl-Ptc-150238
Setpoint=0
Range=15A
Feedback=Vout
OutputEnabled=0
Switches=35264
AutoCalib=3
AutoRange=0
Vout=0.000146073
Vsense=0.0001361543
Vref=-0.001683696
I=0.00571004
[ACQ CV]
Timestamp=2017-01-18 20:44:45.543
StepReduction=1
AvgOnReduction=1
ChannelMask=15
VChannel=1
Start=0
Margin1=-0.05
Margin2=0.05
End=0
Speed=50
Step=0.001
Sweeps=102
WaitFirst=10
WaitStep=2
WaitSweep=1
RelayAfterOff=1
ChannelCount=4
Channel1=Vout
Channel1Src=Tag3/Channel0
Channel2=Vsense
Channel2Src=Tag3/Channel1
Channel3=Vref
Channel3Src=Tag3/Channel2
Channel4=I
Channel4Src=Tag3/Channel3
[DataHeader]
Number	Vout	Vsense	Vref	I
[Data]
91	-0.0874319	-0.00407136	-0.001766425	-0.842399
92	-0.0884379	-0.0042282	-0.001745792	-0.852158
93	-0.0894277	-0.00423996	-0.001750574	-0.862204
94	-0.0904863	-0.00429843	-0.001810574	-0.871986
95	-0.0914726	-0.00432873	-0.001757058	-0.881414
96	-0.0924494	-0.00436084	-0.001745399	-0.890985
97	-0.0934652	-0.00437483	-0.001753882	-0.901046
98	-0.0944398	-0.00443495	-0.001663522	-0.910821
99	-0.0954383	-0.00454566	-0.001767309	-0.920644
100	-0.0964539	-0.00458807	-0.001689821	-0.930534
101	-0.0974912	-0.00463545	-0.001748969	-0.940298
102	-0.0985132	-0.00467071	-0.001762626	-0.949894
103	-0.0994336	-0.00477197	-0.001767015	-0.959698
104	-0.1004921	-0.00482735	-0.001807822	-0.969344
105	-0.1014837	-0.00493747	-0.001747102	-0.979078
106	-0.1024957	-0.00500081	-0.001748052	-0.988746
107	-0.1034586	-0.00496403	-0.001733969	-0.998425
108	-0.104449	-0.00495872	-0.00184958	-1.008141
109	-0.1054303	-0.00505442	-0.001831338	-1.017908
110	-0.1064742	-0.00505951	-0.00177779	-1.027569
111	-0.1075263	-0.00515078	-0.001687037	-1.037424
112	-0.1085036	-0.00517432	-0.001781229	-1.047079
113	-0.1094667	-0.00525158	-0.001798423	-1.057359
114	-0.1104196	-0.00526839	-0.001796622	-1.066574
115	-0.1114012	-0.00537545	-0.00172339	-1.076399
116	-0.1123898	-0.00534009	-0.001749493	-1.085955
117	-0.1134551	-0.0054224	-0.001760628	-1.095922
118	-0.1144371	-0.00544749	-0.001817549	-1.105868
119	-0.1154577	-0.00556443	-0.001822233	-1.115523
120	-0.1164699	-0.00547959	-0.00176993	-1.125136
121	-0.1174346	-0.00557166	-0.001795213	-1.135042
